condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,skill_type,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_count,tracking_complete
rgbd+GP,gp,point,n1,3mm,3.0,0.0,lamp,insert,24,24,1.0,1.58959279120136,,,5,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,lamp,insert,23,23,1.0,1.3723223890616292,,,5,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,lamp,insert,22,22,1.0,1.9437768015672467,,,5,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,lamp,insert,22,22,1.0,3.5608608966334807,,,3,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,lamp,screw,25,15,0.6,21.361084368369955,,,2,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,lamp,screw,19,11,0.5789473684210527,26.022547659796448,,,19,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,lamp,screw,24,12,0.5,17.922134561035197,,,4,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,lamp,screw,23,13,0.5652173913043478,16.91794851111096,,,4,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,lamp,screw,22,14,0.6363636363636364,9.968320172907925,,,4,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,lamp,screw,22,14,0.6363636363636364,4.10525567113784,,,1,True
rgbd+colored GP,colored_gp,point,n0,0mm,0.0,0.0,one_leg,push,36,35,0.9722222222222222,5.505133287058482,,,8,True
rgbd+colored GP,colored_gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,push,36,34,0.9444444444444444,11.6225885713993,,,36,False
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,one_leg,push,36,34,0.9444444444444444,6.081839181072436,,,8,True
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,one_leg,push,36,33,0.9166666666666666,4.958873748620219,,,8,True
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,one_leg,push,36,34,0.9444444444444444,4.101589315876093,,,8,True
rgbd+colored GP,colored_gp,point,n4,24mm,24.0,0.0,one_leg,push,36,32,0.8888888888888888,7.898771703276973,,,7,True
rgbd+colored GP,colored_gp,point,n0,0mm,0.0,0.0,one_leg,pick,71,71,1.0,2.017089644106901,,,15,True
rgbd+colored GP,colored_gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,pick,70,70,1.0,23.292966622733513,,,70,False
rgbd+colored GP,colored_gp,point,n1,3mm,3.0,0.0,one_leg,pick,70,70,1.0,2.1945627733277084,,,14,True
rgbd+colored GP,colored_gp,point,n2,6mm,6.0,0.0,one_leg,pick,69,69,1.0,1.9481538337084672,,,15,True
rgbd+colored GP,colored_gp,point,n3,12mm,12.0,0.0,one_leg,pick,70,70,1.0,2.2419258328256153,,,14,True
